District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Saugus,02620000,"     1,854",     8.5,     3.4,"     1,813",    93.6
Sizer School: A North Central Charter Essential (District),04740000,       253,     7.9,     2.0,       249,    93.6
Randolph,02440000,       354,    15.8,    12.4,       319,    93.4
Rising Tide Charter Public (District),04830000,       589,     9.2,     5.1,       573,    93.4
Ware,03090000,"     1,091",    10.6,     6.2,"     1,044",    93.4
Argosy Collegiate Charter School (District),35090000,       304,     8.6,     2.6,       298,    93.3
Athol-Royalston,06150000,"     1,324",    12.2,     7.9,"     1,246",    93.3
Brockton,00440000,"     2,992",    11.0,     5.2,"     2,895",    93.3
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,        15,     6.7,     0.0,        15,    93.3
Mohawk Trail,07170000,       861,     9.3,     4.8,       842,    93.1
Fall River,00950000,"     5,494",    13.3,     8.3,"     5,202",    93.0
Leicester,01510000,"     1,258",     8.8,     4.8,"     1,234",    92.9
Milford,01850000,"     2,777",    12.0,     9.3,"     2,633",    92.9
Revere,02480000,"     2,694",    10.5,     5.0,"     2,607",    92.9
Salem Academy Charter (District),04850000,       212,     7.5,     1.9,       211,    92.9
Wareham,03100000,"     1,578",    11.8,     7.7,"     1,499",    92.9
Holyoke,01370000,       782,    15.0,     9.2,       725,    92.8
Worcester,03480000,"     7,915",    12.4,     6.5,"     7,587",    92.8
Excel Academy Charter (District),04100000,       156,    10.3,     4.5,       151,    92.7
Edgartown,00890000,       273,    14.7,     9.5,       252,    92.5
Eastham,00850000,       153,    13.1,     7.8,       144,    92.4
Community Day Charter Public School - R. Kingman Webster (District),04310000,        13,     7.7,     0.0,        13,    92.3
Lynn,01630000,"     2,521",    11.6,     6.7,"     2,444",    92.3
Lowell,01600000,"     4,131",    14.0,     7.4,"     3,914",    91.8
Boston,00350000,"     7,954",    12.2,     6.4,"     7,691",    91.7
Palmer,02270000,"     1,119",    12.4,     7.9,"     1,069",    91.7
Brooke Charter School (District),04280000,        81,     8.6,     3.7,        81,    91.4
Orange,02230000,       531,    12.2,     6.4,       510,    91.4
Seven Hills Charter Public (District),04860000,        47,    10.6,     2.1,        46,    91.3
Academy Of the Pacific Rim Charter Public (District),04120000,        48,    14.6,     6.3,        45,    91.1
Prospect Hill Academy Charter (District),04870000,       147,     9.5,     2.7,       146,    91.1
Pioneer Valley Performing Arts Charter Public (District),04790000,       269,    10.8,     6.7,       264,    90.9
Erving,00910000,       111,    10.8,     9.9,       109,    90.8
Collegiate Charter School of Lowell (District),35030000,       133,    12.0,     6.8,       129,    90.7
Webster,03160000,"     1,142",    14.5,     9.6,"     1,077",    90.6
Hampden Charter School of Science East (District),04990000,       179,    12.3,     3.4,       174,    90.2
Fitchburg,00970000,"     1,703",    16.1,     9.8,"     1,605",    90.0
Everett,00930000,"     1,645",    13.7,     6.1,"     1,599",    89.3
Provincetown,02420000,        73,    20.5,    13.7,        65,    89.2
Lincoln,01570000,       784,    17.1,     8.5,       730,    89.0
Farmington River Reg,06620000,       122,    15.6,    11.5,       116,    88.8
Malden,01650000,"     1,997",    17.5,    12.0,"     1,869",    88.6
Chelsea,00570000,       434,    18.7,    12.0,       403,    88.3
Neighborhood House Charter (District),04440000,       116,    15.5,     7.8,       111,    88.3
Southbridge,02770000,       787,    17.3,     8.9,       750,    87.7
UP Academy Charter School of Dorchester (District),35050000,         8,    12.5,    12.5,         8,    87.5
Springfield,02810000,"     2,842",    21.1,    11.9,"     2,639",    87.0
Holyoke Community Charter (District),04530000,        31,    16.1,     3.2,        30,    86.7
Boston Green Academy Horace Mann Charter School (District),04110000,        45,    15.6,     6.7,        44,    86.4
Conservatory Lab Charter (District),04390000,        23,    17.4,     8.7,        22,    86.4
Springfield Preparatory Charter School (District),35100000,        28,    17.9,    10.7,        27,    85.2
Lawrence,01490000,       557,    20.5,     9.9,       534,    84.1
Roxbury Preparatory Charter (District),04840000,        17,    23.5,    17.6,        16,    81.3
Boston Day and Evening Academy Charter (District),04240000,        32,    28.1,     9.4,        29,    79.3
Community Day Charter Public School - Gateway (District),04260000,         9,    22.2,     0.0,         9,    77.8
Hampden Charter School of Science West (District),35160000,       137,    32.1,    14.6,       121,    76.9
City on a Hill Charter Public School New Bedford (District),35070000,        84,    25.0,     2.4,        82,    76.8
