District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Carver,00520000,   7.8,   8.3,   4.4,   0.7,  15.4,   1.7,   6.7,   0.0,  22.6,   4.0,   3.9,   3.8,   6.9
Central Berkshire,06350000,  13.2,   9.2,   7.0,   5.4,   5.3,  15.3,   5.4,   8.4,   8.1,   4.2,   2.4,   2.2,   7.1
Chelmsford,00560000,   8.5,   7.1,   7.7,   7.6,   8.1,   5.6,   3.1,   2.8,  16.3,   2.4,   2.0,   1.6,   6.2
Chelsea,00570000,   4.1,   5.5,   5.0,   4.7,  15.2,   4.0,   5.4,   6.4,  15.5,   4.5,   2.8,   1.1,   6.3
Chesterfield-Goshen,06320000,  13.6,  25.0,  11.1,   5.9,  25.0,   6.3,,,,,,,  14.3
Chicopee,00610000,   9.5,  12.4,   9.2,   5.2,   6.2,  13.3,   5.9,   5.6,   8.4,   6.3,   6.4,   3.8,   7.6
Christa McAuliffe Charter Public (District),04180000,,,,,,,   6.4,   4.5,,,,,   5.5
City on a Hill Charter Public School Circuit Street (District),04370000,,,,,,,,,,  23.1,  11.5,   2.2,  12.7
Clarksburg,00630000,   6.7,   9.1,   3.3,   7.1,   5.0,   0.0,   9.1,   0.0,,,,,   5.1
Clinton,00640000,  12.4,   6.4,   7.9,   4.1,  10.1,  17.3,   9.4,   6.2,  18.1,   4.2,   4.8,   0.8,   8.8
Codman Academy Charter Public (District),04380000,   9.5,   0.0,   5.0,   4.8,   4.8,   0.0,   4.5,   9.1,  22.7,   4.8,  11.8,   4.0,   6.8
Cohasset,00650000,   5.9,   6.7,   5.9,   6.8,  16.4,   6.5,   6.7,   8.6,   7.1,   3.5,   3.8,   3.1,   6.7
Collegiate Charter School of Lowell (District),35030000,   3.8,   6.3,   3.5,   6.3,   4.3,   5.4,   2.5,   1.1,  75.0,  20.9,,,   9.5
Community Charter School of Cambridge (District),04360000,,,,,,,   7.1,   3.2,  10.3,  14.0,   4.0,   0.0,   6.6
Community Day Charter Public School - Gateway (District),04260000,   0.0,   2.3,   0.0,   0.0,   2.4,   0.0,   0.0,   0.0,,,,,   0.6
Community Day Charter Public School - Prospect (District),04400000,   0.0,   2.1,   0.0,   0.0,  10.6,   2.3,   0.0,   0.0,,,,,   2.0
Community Day Charter Public School - R. Kingman Webster (District),04310000,   2.4,   0.0,   2.2,   0.0,   4.8,   0.0,   0.0,   2.8,,,,,   1.5
