School Name,School Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Attleboro - Peter Thacher Elementary School,00160050,  16.0,  14.4,  13.3,   8.3,,,,,,,,,  13.0
Attleboro - Robert J. Coelho Middle School,00160305,,,,,,   5.0,   4.2,   2.2,,,,,   3.7
Attleboro - Thomas Willett Elementary School,00160035,  20.8,  15.3,  10.0,   5.7,,,,,,,,,  13.0
Attleboro - Wamsutta Middle School,00160320,,,,,,   4.5,   5.6,   3.0,,,,,   4.4
Auburn - Auburn Middle,00170305,,,,,,,   5.2,   3.6,,,,,   4.4
Auburn - Auburn Senior High,00170505,,,,,,,,,,   2.0,   3.9,   4.0,   3.3
Auburn - Bryn Mawr,00170010,   9.2,   8.0,,,,,,,,,,,   8.6
Auburn - Pakachoag School,00170025,   3.4,   2.0,,,,,,,,,,,   2.7
Auburn - Swanson Road Intermediate School,00170030,,,,   7.6,   6.4,,,,,,,,   7.0
Avon - Avon Middle High School,00180510,,,,,,,,   3.2,  43.5,   6.1,   4.4,   4.9,  13.8
Avon - Ralph D Butler,00180010,   6.5,   5.8,   3.6,  13.8,   4.7,   5.5,,,,,,,   6.6
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,,,,,,,,,,   7.0,   5.0,   4.7,   5.7
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,,,,,,,   5.0,   6.5,,,,,   5.7
Ayer Shirley School District - Lura A. White Elementary School,06160001,   7.9,  12.5,   2.2,   6.0,   1.8,,,,,,,,   6.1
Ayer Shirley School District - Page Hilltop Elementary School,06160002,   8.2,  10.7,   8.1,   5.3,   5.0,,,,,,,,   7.5
Barnstable - Barnstable Community Innovation School,00200012,   5.9,   4.9,  10.1,,,,,,,,,,   7.1
Barnstable - Barnstable High,00200505,,,,,,,,,  22.7,   6.3,   3.5,   5.4,  10.1
Barnstable - Barnstable Intermediate School,00200315,,,,,,,   5.8,,,,,,   5.8
Barnstable - Barnstable United Elementary School,00200050,,,,,   9.9,,,,,,,,   9.9
Barnstable - Centerville Elementary,00200010,  15.8,   7.2,  11.1,,,,,,,,,,  11.1
Barnstable - Enoch Cobb Early Learning Center,00200001,,,,,,,,,,,,,
Barnstable - Hyannis West Elementary,00200025,  12.3,  11.1,  12.2,,,,,,,,,,  11.9
Barnstable - West Barnstable Elementary,00200005,   5.5,  17.2,  11.5,,,,,,,,,,  11.5
Barnstable - West Villages Elementary School,00200045,  15.6,  12.7,   8.4,,,,,,,,,,  12.1
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,,,,,,,   1.4,   3.8,  26.7,   4.6,   3.6,   8.9,   8.4
Bedford - Bedford High,00230505,,,,,,,,,,   9.4,   7.9,   3.3,   7.2
Bedford - John Glenn Middle,00230305,,,,,,,   5.3,   4.3,,,,,   4.8
Bedford - Lt Elezer Davis,00230010,   6.0,   4.0,,,,,,,,,,,   5.0
Bedford - Lt Job Lane School,00230012,,,,   5.1,   2.0,,,,,,,,   3.6
Belchertown - Belchertown High,00240505,,,,,,,,,,   5.8,   1.9,   1.2,   3.1
Belchertown - Chestnut Hill Community School,00240006,,,,,   6.2,   3.5,,,,,,,   4.8
Belchertown - Cold Spring,00240005,,,,,,,,,,,,,
Belchertown - Jabish Middle School,00240025,,,,,,,,   4.3,,,,,   4.3
Belchertown - Swift River Elementary,00240018,,   9.7,  13.0,,,,,,,,,,  11.5
Bellingham - Bellingham Early Childhood Center,00250003,,,,,,,,,,,,,
Bellingham - Bellingham High School,00250505,,,,,,,,,  19.8,   6.3,   3.6,   3.4,   9.0
Bellingham - Bellingham Memorial School,00250315,,,,,   2.8,   4.5,   3.8,,,,,,   3.7
Bellingham - Joseph F DiPietro Elementary School,00250020,  16.7,   9.3,  16.5,,,,,,,,,,  14.0
Bellingham - Keough Memorial Academy,00250510,,,,,,,,,,  16.7,,  14.3,  18.2
Bellingham - Stall Brook,00250025,   6.3,  16.4,   5.8,,,,,,,,,,   9.3
Belmont - Belmont High,00260505,,,,,,,,,,   3.4,   4.7,   3.0,   3.7
Belmont - Daniel Butler,00260015,  14.5,  10.4,   9.7,  11.8,,,,,,,,,  11.6
Belmont - Mary Lee Burbank,00260010,  21.6,  10.0,  18.2,  11.8,,,,,,,,,  15.3
Belmont - Roger E Wellington,00260035,  14.2,   9.3,   7.4,   6.8,,,,,,,,,   9.4
Belmont - Winn Brook,00260005,   6.8,   8.7,   5.4,   7.4,,,,,,,,,   7.1
Belmont - Winthrop L Chenery Middle,00260305,,,,,,   8.0,   7.0,   5.9,,,,,   7.0
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,   4.3,   2.2,   3.9,   4.1,   4.5,   2.4,,,,,,,   3.6
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,   4.3,   3.3,   0.0,   3.3,   1.1,   4.3,   5.8,   0.0,,,,,   2.7
Berkley - Berkley Community School,00270010,   6.1,   4.7,   7.6,   3.0,,,,,,,,,   5.2
Berkley - Berkley Middle School,00270305,,,,,,   1.1,   4.4,   2.1,,,,,   2.7
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,,,,,,,  16.9,   8.3,  32.8,  14.6,   4.0,   3.0,  14.9
Berkshire Hills - Monument Mt Regional High,06180505,,,,,,,,,,   4.9,   2.8,   3.2,   3.6
Berkshire Hills - Muddy Brook Regional Elementary School,06180035,   2.6,   4.4,  14.0,   3.7,,,,,,,,,   5.9
Berkshire Hills - W.E.B. Du Bois Regional Middle School,06180310,,,,,,   5.8,   6.2,   4.0,,,,,   5.2
Berlin-Boylston - Berlin Memorial School,06200005,  13.8,   4.2,   6.5,  13.3,  12.5,,,,,,,,  10.3
Berlin-Boylston - Boylston Elementary School,06200010,   3.8,   2.5,   4.3,   5.3,   2.0,,,,,,,,   3.5
Berlin-Boylston - Tahanto Regional High,06200505,,,,,,,   3.3,   3.8,  22.4,   1.5,   2.8,   0.0,   6.4
Beverly - Ayers/Ryal Side School,00300055,  36.4,  30.0,   6.8,  21.3,,,,,,,,,  23.6
Beverly - Beverly High,00300505,,,,,,,,,,   6.3,   4.8,   2.9,   4.7
Beverly - Beverly Middle School,00300305,,,,,,   4.7,   7.1,   6.6,,,,,   6.2
Beverly - Centerville Elementary,00300010,  26.8,  21.4,  30.6,   2.8,,,,,,,,,  19.9
Beverly - Cove Elementary,00300015,  18.5,  35.5,  24.7,  42.7,,,,,,,,,  30.2
Beverly - Hannah Elementary,00300033,  34.8,  32.3,  38.8,  34.4,,,,,,,,,  35.1
Beverly - McKeown School,00300002,,,,,,,,,,,,,
Beverly - North Beverly Elementary,00300040,  34.4,   7.7,  20.3,  15.7,,,,,,,,,  18.9
Billerica - Billerica Memorial High School,00310505,,,,,,,,,  37.6,   3.8,   3.0,   2.4,  14.3
Billerica - Frederick J Dutile,00310007,   6.1,   5.6,   4.0,   9.8,,,,,,,,,   6.2
Billerica - Hajjar Elementary,00310026,   2.9,   5.6,   9.8,   9.2,,,,,,,,,   6.9
Billerica - John F Kennedy,00310012,   4.5,   6.3,   1.6,  10.4,,,,,,,,,   5.4
Billerica - Locke Middle,00310310,,,,,,   6.7,   2.3,,,,,,   4.5
Billerica - Marshall Middle School,00310305,,,,,,   3.2,   7.8,,,,,,   5.7
Billerica - Parker,00310015,   8.0,  10.3,   6.1,   8.5,,,,,,,,,   8.2
Billerica - Thomas Ditson,00310005,  10.5,   8.3,   3.7,   4.2,,,,,,,,,   6.5
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,,,,,,,,,,   1.6,   2.6,   0.3,   1.5
Blackstone-Millville - A F Maloney,06220015,,,,   6.3,   7.5,,,,,,,,   7.0
Blackstone-Millville - Blackstone Millville RHS,06220505,,,,,,,,,,   2.7,   6.2,   2.1,   3.8
Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,,,,,,,   5.9,   6.0,,,,,   5.9
Blackstone-Millville - John F Kennedy Elementary,06220008,  11.7,   4.5,,,,,,,,,,,   8.2
Blackstone-Millville - Millville Elementary,06220010,  10.0,   7.1,  11.1,   6.5,  17.5,,,,,,,,  11.0
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,,,,,,,,,,   3.4,   1.8,   1.0,   2.2
Boston - Adams Elementary School,00350302,   0.0,   9.7,  12.5,   3.3,  30.6,  10.7,,,,,,,  11.4
Boston - Alighieri Dante Montessori School,00350066,   6.7,   0.0,   0.0,   9.1,  14.3,   0.0,,,,,,,   4.1
Boston - Another Course To College,00350541,,,,,,,,,,  14.5,  12.7,   1.7,  10.0
Boston - Baldwin Early Learning Pilot Academy,00350003,  25.6,,,,,,,,,,,,  25.6
Boston - Bates Elementary School,00350278,   5.7,  15.4,   7.5,  15.6,  10.5,,,,,,,,  10.9
Boston - Beethoven Elementary School,00350021,  17.3,  12.0,,,,,,,,,,,  14.5
Boston - Blackstone Elementary School,00350390,  15.1,   5.7,  10.4,  10.2,  16.0,,,,,,,,  11.3
Boston - Boston Adult Tech Academy,00350548,,,,,,,,,,,,  42.9,  42.9
Boston - Boston Arts Academy,00350546,,,,,,,,,,   4.7,   6.5,   3.1,   4.9
Boston - Boston Collaborative High School,00350755,,,,,,,,,,  10.0,  12.0,  21.4,  17.6
Boston - Boston Community Leadership Academy,00350558,,,,,,,,,,   8.7,   9.9,   3.1,   7.6
Boston - Boston International High School & Newcomers Academy,00350507,,,,,,,,,,  20.2,  15.0,   6.5,  15.5
Boston - Boston Latin Academy,00350545,,,,,,,,   4.2,   4.1,   1.5,   1.5,   0.0,   2.1
Boston - Boston Latin School,00350560,,,,,,,,   1.5,   4.0,   3.2,   0.8,   1.2,   2.1
Boston - Boston Teachers Union K-8 Pilot,00350012,  11.5,  22.7,   9.1,  12.0,  16.0,   4.0,  40.7,   9.1,,,,,  18.5
Boston - Bradley Elementary School,00350215,   5.1,   9.8,   7.3,   5.3,  27.1,  19.4,,,,,,,  12.6
Boston - Brighton High School,00350505,,,,,,,,,,  19.6,  19.8,  10.7,  16.6
Boston - Burke High School,00350525,,,,,,,,,,  10.5,  10.6,   5.6,   8.8
Boston - Carter School,00350036,,,,,,,,,,,,,   0.0
Boston - Channing Elementary School,00350360,  18.4,  25.8,  18.8,  12.0,  28.0,  35.0,,,,,,,  22.2
Boston - Charlestown High School,00350515,,,,,,,,,,  12.1,  11.8,   6.9,  10.5
Boston - Chittick Elementary School,00350154,   9.5,  25.0,  18.4,  15.4,  20.5,,,,,,,,  17.4
Boston - Clap Elementary School,00350298,  11.1,  11.1,   0.0,  10.0,   5.0,  33.3,,,,,,,  10.3
Boston - Community Academy,00350518,,,,,,,,,,  16.7,  21.1,  14.3,  17.8
Boston - Community Academy of Science and Health,00350581,,,,,,,,,,  19.4,  15.2,  11.5,  15.1
Boston - Condon K-8 School,00350146,  12.1,   9.1,   7.1,   5.6,  17.4,  11.1,  26.2,   7.1,,,,,  12.4
Boston - Conley Elementary School,00350122,   0.0,  10.0,  22.7,  13.0,   9.6,  25.9,,,,,,,  13.6
Boston - Curley K-8 School,00350020,   9.2,   8.5,   4.3,   4.0,   9.5,  14.1,  25.6,  12.0,,,,,  11.4
Boston - Dearborn 6-12 STEM Academy,00350074,,,,,,,  10.0,   1.2,   6.1,   5.6,   4.4,   0.0,   5.0
Boston - Dever Elementary School,00350268,  10.6,  14.5,  14.9,  20.0,  18.8,,,,,,,,  16.1
Boston - East Boston Early Education Center,00350009,  10.9,,,,,,,,,,,,  10.9
Boston - East Boston High School,00350530,,,,,,,,,,   9.6,   5.3,   3.6,   6.4
Boston - Edison K-8 School,00350375,  11.5,  10.5,   9.5,  15.7,  10.9,   7.0,  36.4,   8.5,,,,,  13.4
Boston - Edwards Middle School,00350430,,,,,,,  33.6,  10.1,,,,,  21.8
Boston - Eliot K-8 Innovation School,00350096,   1.2,   2.4,   0.0,   4.4,   1.1,   2.1,  73.8,   6.3,,,,,  11.1
Boston - Ellis Elementary School,00350072,  21.1,  23.4,  18.6,  20.6,  21.9,,,,,,,,  21.0
Boston - Ellison-Parks Early Education School,00350008,  17.1,  16.7,  16.7,,,,,,,,,,  16.8
Boston - English High School,00350535,,,,,,,,,,  17.1,  19.8,  14.5,  17.2
Boston - Everett Elementary School,00350088,  16.2,   7.1,  10.0,   5.1,  14.7,  12.9,,,,,,,  10.8
Boston - Excel High School,00350522,,,,,,,,,,  13.2,  14.1,  11.3,  12.8
Boston - Fenway High School,00350540,,,,,,,,,,   6.8,   2.0,   7.5,   5.4
Boston - Frederick Pilot Middle School,00350383,,,,,,,  17.8,  18.0,,,,,  17.9
Boston - Gardner Pilot Academy,00350326,   5.0,   2.5,   7.5,   7.3,   5.0,   5.0,  20.5,   5.0,,,,,   7.4
Boston - Greater Egleston High School,00350543,,,,,,,,,,   4.2,   5.7,   7.4,   5.8
Boston - Greenwood Sarah K-8 School,00350308,   6.0,  15.0,   7.7,   5.4,  11.9,   4.8,  14.3,  16.7,,,,,   9.9
Boston - Grew Elementary School,00350135,  19.4,   4.9,  15.0,  10.0,   3.2,,,,,,,,  10.4
Boston - Guild Elementary School,00350062,  11.4,  10.3,   7.5,  13.9,  13.5,  14.6,,,,,,,  11.8
Boston - Hale Elementary School,00350243,   4.8,   4.5,   4.5,  12.5,  12.5,  10.5,,,,,,,   8.3
Boston - Haley Pilot School,00350077,  15.0,  15.0,  11.9,  14.0,  28.0,  15.2,  46.7,   7.1,,,,,  19.4
