District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Carver,00520000,   2.3,   2.6,   0.7,   3.2,   7.7,   2.5,   3.3,   4.7,  29.3,   6.6,   3.7,   2.0,   5.9
Central Berkshire,06350000,   4.1,   2.9,   5.1,   3.2,   2.8,   8.7,   6.3,   0.8,  19.3,   4.7,   3.6,   1.7,   5.3
Chelmsford,00560000,   2.9,   1.6,   3.5,   3.7,   3.9,   3.2,   2.2,   2.3,  19.7,   3.9,   2.1,   2.9,   4.4
Chelsea,00570000,   6.8,   8.4,   8.2,   6.4,  23.1,   6.7,   8.6,   5.0,  20.6,   6.7,   5.8,   5.5,   9.6
Chesterfield-Goshen,06320000,   7.7,  10.0,  10.5,   0.0,   0.0,   0.0,,,,,,,   5.3
Chicopee,00610000,   8.9,  10.0,   8.3,   7.6,   7.2,  11.1,   6.7,   7.4,  10.0,   8.2,   7.2,   4.7,   8.1
Christa McAuliffe Charter Public (District),04180000,,,,,,,   7.9,   9.4,,,,,   8.6
City on a Hill Charter Public School Circuit Street (District),04370000,,,,,,,,,,  21.2,  13.4,   7.5,  15.1
City on a Hill Charter Public School Dudley Square (District),35040000,,,,,,,,,,  13.5,  10.0,   3.7,   9.6
City on a Hill Charter Public School New Bedford (District),35070000,,,,,,,,,,  30.4,  22.0,  17.5,  24.5
Clarksburg,00630000,   0.0,   0.0,   7.7,   0.0,   0.0,   0.0,   4.3,  12.5,,,,,   2.4
Clinton,00640000,   4.4,  10.8,   8.5,   8.1,   6.5,  10.7,   8.4,   2.1,  24.8,   8.2,   4.0,   5.1,   8.6
Codman Academy Charter Public (District),04380000,   5.0,  15.0,   5.0,   5.0,  28.6,  10.5,  20.0,   5.3,  22.2,  14.3,  15.6,  11.8,  13.3
Cohasset,00650000,   2.0,   2.9,   2.6,   3.6,   3.3,   5.1,   6.7,   7.8,  10.3,   8.1,   3.8,   0.8,   4.8
Collegiate Charter School of Lowell (District),35030000,   5.9,   8.8,  10.0,  11.2,  13.8,   8.0,   3.7,   5.0,  47.3,,,,  11.1
Community Charter School of Cambridge (District),04360000,,,,,,,  13.2,   1.9,  29.2,  10.2,  11.4,   0.0,  10.8
Community Day Charter Public School - Gateway (District),04260000,   2.4,   0.0,   0.0,   0.0,   0.0,   2.8,   2.6,   0.0,,,,,   0.9
Community Day Charter Public School - Prospect (District),04400000,   0.0,   4.2,   2.1,   6.0,   8.5,   6.5,   2.4,   3.0,,,,,   4.2
Community Day Charter Public School - R. Kingman Webster (District),04310000,   7.1,   9.3,   0.0,   2.3,   0.0,   2.8,   0.0,   3.2,,,,,   3.2
Concord,00670000,   2.9,   3.4,   1.9,   7.4,   2.9,   5.9,   4.9,   3.8,,,,,   4.2
Concord-Carlisle,06400000,,,,,,,,,,   3.7,   1.0,   4.1,   2.9
Conservatory Lab Charter (District),04390000,   9.3,   5.7,   7.4,   3.8,  25.5,  14.6,  30.2,   4.0,,,,,  12.4
Conway,00680000,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,,,,,,,   0.0
Danvers,00710000,   4.1,   5.7,   3.8,   3.5,   4.2,   6.9,   5.5,   1.8,  28.6,   5.3,   2.1,   3.0,   6.4
Dartmouth,00720000,   3.7,   3.2,   3.6,   4.5,   1.9,   3.9,   2.3,   2.8,  35.5,   3.9,   3.4,   2.7,   6.3
Dedham,00730000,   6.1,   1.7,   4.4,   4.4,   3.3,   4.2,   5.5,   4.6,  22.1,   1.8,   3.3,   2.5,   5.4
Deerfield,00740000,   6.4,   1.9,   6.5,   2.6,   5.6,   6.8,,,,,,,   5.0
Dennis-Yarmouth,06450000,   8.0,   4.3,   7.3,   8.4,   8.9,  17.7,   5.8,   6.0,  29.0,  10.3,   9.0,   3.8,  10.1
Dighton-Rehoboth,06500000,   2.2,   3.8,   2.0,   0.9,   5.5,   2.5,   3.4,   2.6,  37.3,   6.5,   2.8,   3.3,   6.4
Douglas,00770000,   2.3,   7.4,   2.3,   5.9,   3.4,   3.7,   3.9,   5.0,  26.5,   6.3,   4.3,   1.0,   6.1
Dover,00780000,   1.3,   1.4,   1.2,   2.5,   4.7,,,,,,,,   2.3
Dover-Sherborn,06550000,,,,,,,   5.8,   2.9,   8.5,   9.4,   2.9,   1.8,   5.3
Dracut,00790000,   5.0,   4.8,   2.7,   3.4,  10.8,   5.6,   3.7,   2.1,  37.5,   5.1,   1.3,   3.5,   7.5
Dudley Street Neighborhood Charter School (District),04070000,   5.1,  10.8,   4.8,  16.7,  22.2,,,,,,,,  11.7
Dudley-Charlton Reg,06580000,   3.2,   3.7,   2.7,   5.1,   3.1,   2.5,   3.8,   2.3,  37.0,   5.4,   3.9,   2.6,   6.7
Duxbury,00820000,   3.3,   2.1,   1.5,   2.8,   2.1,   4.3,   1.9,   1.6,   6.0,   3.8,   3.6,   2.4,   3.0
East Bridgewater,00830000,   5.6,   5.6,   3.9,   3.1,   4.0,   3.9,   4.2,   5.0,  18.3,   4.6,   1.3,   1.8,   5.3
East Longmeadow,00870000,   2.5,   3.2,   4.0,   0.6,   2.6,   2.0,   6.2,   3.8,   9.8,   5.6,   2.8,   1.8,   3.9
Eastham,00850000,  20.0,   7.1,  10.3,   4.2,   7.7,,,,,,,,   9.8
Easthampton,00860000,   8.7,   5.3,   6.7,   6.9,   5.4,   4.9,   7.0,   6.9,  16.7,   3.3,   0.9,   1.7,   6.2
Easton,00880000,   2.1,   3.8,   1.7,   1.6,   2.1,   1.1,   3.5,   1.4,  12.7,   2.8,   2.5,   1.5,   3.2
Edgartown,00890000,   2.6,   9.8,   4.3,  12.2,   1.7,   2.6,   7.9,   7.9,,,,,   5.9
