ORG4CODE,DISTRICT_ID,DISTRICT_N,TOTAL_POPULATION,RLVNT_POP,POV_HOUSEHOLD,PERCENT,,,,,,,,
0292,11460,Swansea    ,16347,2323,177,7.6%,,,,,,,,
0770,11490,Tantasqua    ,21104,1601,79,4.9%,,,,,,,,
0293,11520,Taunton    ,57563,8607,1353,15.7%,,,,,,,,
0295,11580,Tewksbury    ,31164,4985,208,4.2%,,,,,,,,
0773,11740,Triton    ,22103,3366,188,5.6%,,,,,,,,
0300,11730,Truro    ,1976,90,3,3.3%,,,,,,,,
0301,11760,Tyngsborough    ,12131,2242,76,3.4%,,,,,,,,
0302,,Tryingham,,,,#DIV/0!,,,,,,,,
0774,00043,Up-Island,4109,0371,0032,8.6%,,,,,,,,
0304,11850,Uxbridge    ,13998,2277,236,10.4%,,,,,,,,
0775,11880,Wachusett    ,43129,7597,250,3.3%,,,,,,,,
0305,11910,Wakefield    ,26892,3908,135,3.5%,,,,,,,,
0307,11970,Walpole    ,25354,4503,127,2.8%,,,,,,,,
0308,12000,Waltham    ,65042,5570,524,9.4%,,,,,,,,
0309,12030,Ware    ,10033,1342,229,17.1%,,,,,,,,
0310,12060,Wareham    ,22996,3084,441,14.3%,,,,,,,,
0314,12180,Watertown    ,34272,3081,246,8.0%,,,,,,,,
0315,12210,Wayland    ,13879,2815,52,1.8%,,,,,,,,
0316,12240,Webster    ,17449,2334,422,18.1%,,,,,,,,
0317,12270,Wellesley    ,29388,5640,161,2.9%,,,,,,,,
0322,12390,West Boylston    ,7985,977,90,9.2%,,,,,,,,
0323,12420,West Bridgewater    ,7295,1074,63,5.9%,,,,,,,,
0332,12510,West Springfield    ,28560,3907,546,14.0%,,,,,,,,
0321,12600,Westborough    ,19010,3294,115,3.5%,,,,,,,,
0325,12630,Westfield    ,41337,5971,619,10.4%,,,,,,,,
0326,12660,Westford    ,23543,5318,105,2.0%,,,,,,,,
0330,12750,Weston    ,12073,2613,177,6.8%,,,,,,,,
0331,12780,Westport    ,16008,2226,164,7.4%,,,,,,,,
0335,12810,Westwood    ,15406,3331,52,1.6%,,,,,,,,
0336,12840,Weymouth    ,56633,7587,610,8.0%,,,,,,,,
