School Name,School Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Boston - Mildred Avenue K-8,00350378,  15.0,   9.1,  11.6,  15.7,  24.4,  29.6,  15.2,   8.7,,,,,  16.1
Boston - Mission Hill School,00350382,   9.1,   4.8,   6.1,   0.0,  14.3,  26.1,  31.6,  17.6,,,,,  13.1
Boston - Mozart,00350237,   4.0,   8.7,  16.0,   3.8,  48.0,,,,,,,,  16.1
Boston - Nathan Hale,00350243,   9.1,  28.6,   9.1,  12.5,  36.0,,,,,,,,  19.3
Boston - New Mission High School,00350542,,,,,,,,   6.8,  16.7,   8.2,   5.3,   8.8,   9.2
Boston - O W Holmes,00350138,  31.6,  19.0,   7.1,  25.0,  23.6,,,,,,,,  22.2
Boston - O'Bryant School Math/Science,00350575,,,,,,,,   3.2,   5.2,   6.5,   3.2,   2.0,   4.1
Boston - Oliver Hazard Perry,00350255,   3.8,   3.7,   7.7,  26.7,  36.7,  28.0,  48.1,   7.7,,,,,  20.7
Boston - Orchard Gardens,00350257,  20.9,  13.4,   6.4,   9.0,  19.3,  24.8,  16.8,   9.2,,,,,  15.1
Boston - Patrick J Kennedy,00350264,  15.4,   7.0,  12.1,  15.4,  20.0,,,,,,,,  14.5
Boston - Paul A Dever,00350268,  21.7,  19.1,  14.7,  23.7,  31.0,,,,,,,,  22.1
Boston - Pauline Agassiz Shaw Elementary School,00350014,  21.4,  23.8,  29.7,,,,,,,,,,  24.8
Boston - Phineas Bates,00350278,   7.9,   0.0,  18.4,   9.1,  17.5,,,,,,,,  10.6
Boston - Quincy Upper School,00350565,,,,,,,  46.9,   3.4,  36.2,   4.9,   5.0,   7.0,  21.7
Boston - Rafael Hernandez,00350691,   8.0,   8.0,   6.1,   0.0,  10.6,  17.5,  32.4,  11.8,,,,,  10.9
Boston - Richard J Murphy,00350240,   4.4,   6.0,   8.0,   3.4,  19.4,  10.3,  59.2,  10.4,,,,,  18.9
Boston - Roger Clap,00350298,   5.6,  35.7,   5.3,  21.7,  41.7,,,,,,,,  22.4
Boston - Samuel Adams,00350302,  15.6,  20.5,  16.7,  23.3,  37.2,,,,,,,,  23.2
Boston - Samuel W Mason,00350304,  17.9,  10.3,  10.0,  32.4,  39.5,,,,,,,,  21.6
