District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Sherborn,02690000,       414,     3.1,     0.7,       413,    97.1
Shrewsbury,02710000,"     6,458",     6.0,     3.6,"     6,295",    96.5
Shutesbury,02720000,       127,     3.1,     3.1,       124,    99.2
Silver Lake,07600000,"     1,805",     5.9,     3.5,"     1,750",    97.1
Sizer School: A North Central Charter Essential (District),04740000,       378,    11.1,     5.0,       365,    92.1
Somerset,02730000,"     1,774",     3.3,     2.0,"     1,746",    98.5
Somerset Berkley Regional School District,07630000,"     1,046",     4.3,     1.9,"     1,034",    96.8
Somerville,02740000,"     5,192",    10.8,     5.9,"     5,011",    92.9
South Hadley,02780000,"     1,978",     7.8,     5.0,"     1,918",    95.1
South Middlesex Regional Vocational Technical,08290000,       813,     6.3,     2.2,       803,    94.9
South Shore Charter Public (District),04880000,"     1,030",     8.8,     6.3,"     1,011",    92.9
South Shore Regional Vocational Technical,08730000,       642,     2.8,     0.8,       641,    97.3
Southampton,02750000,       498,     3.0,     1.2,       493,    98.0
Southborough,02760000,"     1,326",     9.4,     8.7,"     1,282",    93.8
Southbridge,02770000,"     2,192",    25.3,    13.1,"     2,024",    81.4
Southeastern Regional Vocational Technical,08720000,"     1,474",     3.1,     1.1,"     1,465",    97.5
Southern Berkshire,07650000,       701,     6.7,     3.6,       687,    95.6
Southern Worcester County Regional Vocational Technical,08760000,"     1,155",     4.4,     1.6,"     1,149",    96.1
Southwick-Tolland-Granville Regional School District,07660000,"     1,533",     5.0,     3.2,"     1,493",    97.6
Spencer-E Brookfield,07670000,"     1,481",    10.9,     7.1,"     1,393",    94.8
Springfield,02810000,"    26,615",    17.6,    11.0,"    25,292",    88.9
Springfield Preparatory Charter School (District),35100000,       329,     3.0,     1.8,       327,    97.6
Stoneham,02840000,"     2,432",     6.7,     4.9,"     2,379",    95.5
Stoughton,02850000,"     3,637",     9.1,     6.3,"     3,505",    94.4
Sturbridge,02870000,       923,     4.9,     3.5,       897,    97.9
Sturgis Charter Public (District),04890000,       872,     7.3,     4.7,       843,    95.8
Sudbury,02880000,"     2,712",     3.6,     2.4,"     2,666",    98.1
Sunderland,02890000,       234,    12.4,     9.4,       223,    91.9
Sutton,02900000,"     1,387",     3.0,     1.5,"     1,371",    98.2
Swampscott,02910000,"     2,274",     5.0,     2.8,"     2,227",    97.2
Swansea,02920000,"     2,150",     4.2,     1.8,"     2,125",    97.0
Tantasqua,07700000,"     1,825",     5.6,     1.8,"     1,811",    95.7
Taunton,02930000,"     8,404",     9.1,     5.0,"     8,069",    96.0
TEC Connections Academy Commonwealth Virtual School District,39020000,"     2,962",    47.1,    34.4,"     2,273",    68.9
Tewksbury,02950000,"     3,420",     4.7,     2.6,"     3,366",    96.9
Tisbury,02960000,       327,    17.1,    12.2,       302,    89.7
Topsfield,02980000,       653,     2.1,     0.8,       648,    98.6
Tri-County Regional Vocational Technical,08780000,       977,     3.0,     0.8,       970,    97.7
Triton,07730000,"     2,415",     5.4,     3.0,"     2,377",    96.2
Truro,03000000,       116,     3.4,     1.7,       114,    98.2
Tyngsborough,03010000,"     1,680",     5.3,     3.6,"     1,636",    97.2
UP Academy Charter School of Boston (District),04800000,       453,    29.8,    20.3,       451,    70.5
UP Academy Charter School of Dorchester (District),35050000,       752,    25.7,    18.4,       743,    75.2
Up-Island Regional,07740000,       427,     8.4,     4.7,       417,    94.0
Upper Cape Cod Regional Vocational Technical,08790000,       713,     3.8,     0.7,       710,    96.6
Uxbridge,03040000,"     1,776",     6.6,     4.2,"     1,733",    95.7
Veritas Preparatory Charter School (District),04980000,       393,     9.2,     3.8,       378,    94.4
Wachusett,07750000,"     7,197",     5.9,     3.0,"     7,075",    97.1
Wakefield,03050000,"     3,527",     2.5,     1.5,"     3,486",    98.7
Wales,03060000,       151,    12.6,     6.6,       145,    91.0
Walpole,03070000,"     3,791",     4.3,     2.8,"     3,700",    98.1
Waltham,03080000,"     6,058",    11.8,     7.8,"     5,798",    92.9
Ware,03090000,"     1,198",     8.4,     5.8,"     1,140",    96.2
Wareham,03100000,"     2,226",    11.1,     6.2,"     2,149",    92.4
Watertown,03140000,"     2,784",     8.1,     5.4,"     2,680",    95.6
Wayland,03150000,"     2,739",     1.9,     1.3,"     2,710",    99.1
Webster,03160000,"     1,937",    14.0,     8.0,"     1,850",    90.1
Wellesley,03170000,"     4,946",     2.9,     2.0,"     4,872",    98.7
Wellfleet,03180000,       107,     4.7,     1.9,       106,    96.2
West Boylston,03220000,       930,     5.5,     2.7,       910,    96.6
West Bridgewater,03230000,"     1,396",     3.8,     2.1,"     1,376",    97.6
West Springfield,03320000,"     4,292",    10.1,     6.2,"     4,124",    93.7
Westborough,03210000,"     4,112",     7.9,     4.4,"     3,979",    95.3
Westfield,03250000,"     5,439",     6.2,     3.6,"     5,284",    96.9
Westford,03260000,"     5,020",     4.0,     2.9,"     4,936",    97.8
Westhampton,03270000,       122,     1.6,     0.8,       121,    99.2
Weston,03300000,"     2,056",     1.8,     1.2,"     2,038",    99.0
Westport,03310000,"     1,458",     4.5,     2.6,"     1,423",    97.9
Westwood,03350000,"     3,030",     1.8,     1.3,"     2,999",    99.3
Weymouth,03360000,"     6,061",    12.0,     8.9,"     5,806",    92.1
