District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Somerset Berkley Regional School District,07630000,"     1,024",     4.3,     1.9,"     1,011",    96.9
Somerville,02740000,"     5,103",    12.6,     7.9,"     4,889",    91.9
South Hadley,02780000,"     1,990",     8.8,     5.9,"     1,907",    95.1
South Middlesex Regional Vocational Technical,08290000,       752,     7.4,     3.2,       738,    94.3
South Shore Charter Public (District),04880000,       954,     9.6,     5.5,       938,    91.9
South Shore Regional Vocational Technical,08730000,       651,     3.4,     0.5,       651,    96.6
Southampton,02750000,       527,     5.1,     2.8,       512,    97.7
Southborough,02760000,"     1,366",     8.1,     5.9,"     1,319",    95.2
Southbridge,02770000,"     2,302",    22.5,    14.9,"     2,023",    89.0
Southeastern Regional Vocational Technical,08720000,"     1,450",     4.3,     1.9,"     1,433",    96.8
Southern Berkshire,07650000,       715,     8.0,     5.0,       690,    95.4
Southern Worcester County Regional Vocational Technical,08760000,"     1,129",     3.1,     0.0,"     1,129",    96.9
Southwick-Tolland-Granville Regional School District,07660000,"     1,561",     5.4,     3.3,"     1,522",    97.0
Spencer-E Brookfield,07670000,"     1,507",    14.3,    10.2,"     1,375",    94.0
Springfield,02810000,"    28,226",    21.4,    12.8,"    26,055",    87.7
Springfield Preparatory Charter School (District),35100000,       224,    11.2,     6.7,       218,    91.3
Stoneham,02840000,"     2,420",     7.4,     5.2,"     2,349",    95.5
Stoughton,02850000,"     3,741",     9.7,     6.0,"     3,596",    94.2
Sturbridge,02870000,       928,     6.5,     4.4,       906,    95.8
Sturgis Charter Public (District),04890000,       850,     7.2,     3.5,       829,    95.2
Sudbury,02880000,"     2,735",     2.9,     1.6,"     2,700",    98.6
Sunderland,02890000,       247,    10.5,     6.5,       237,    93.2
Sutton,02900000,"     1,442",     3.5,     1.5,"     1,425",    97.6
Swampscott,02910000,"     2,274",     5.5,     3.3,"     2,213",    97.2
Swansea,02920000,"     2,144",     5.8,     3.2,"     2,090",    96.8
Tantasqua,07700000,"     1,828",     5.4,     1.7,"     1,805",    96.5
Taunton,02930000,"     8,562",    11.5,     6.4,"     8,123",    94.5
TEC Connections Academy Commonwealth Virtual School District,39020000,"     2,303",    55.8,    40.6,"     1,647",    61.8
Tewksbury,02950000,"     3,598",     6.1,     3.8,"     3,487",    97.0
Tisbury,02960000,       327,    11.6,     8.3,       306,    94.4
Topsfield,02980000,       645,     2.9,     2.6,       632,    99.1
Tri-County Regional Vocational Technical,08780000,       999,     4.0,     1.1,       990,    96.9
Triton,07730000,"     2,642",     5.5,     2.3,"     2,590",    96.4
Truro,03000000,       110,     9.1,     6.4,       105,    95.2
Tyngsborough,03010000,"     1,738",     4.3,     2.9,"     1,693",    98.2
UP Academy Charter School of Boston (District),04800000,       554,    22.4,    18.6,       507,    84.8
UP Academy Charter School of Dorchester (District),35050000,       779,    14.0,     9.2,       759,    88.3
Up-Island Regional,07740000,       423,    12.8,     9.0,       407,    90.7
Upper Cape Cod Regional Vocational Technical,08790000,       722,     4.3,     0.4,       720,    96.0
Uxbridge,03040000,"     1,842",     7.9,     5.2,"     1,783",    95.2
Veritas Preparatory Charter School (District),04980000,       334,    12.6,     5.7,       332,    88.0
Wachusett,07750000,"     7,371",     4.2,     2.6,"     7,261",    97.3
Wakefield,03050000,"     3,584",     4.8,     3.5,"     3,508",    97.3
Wales,03060000,       169,    10.1,     4.7,       161,    94.4
Walpole,03070000,"     3,872",     3.9,     2.2,"     3,807",    97.9
Waltham,03080000,"     5,906",    12.0,     7.4,"     5,639",    92.5
Ware,03090000,"     1,296",    13.1,     8.1,"     1,225",    91.9
Wareham,03100000,"     2,468",    12.5,     6.9,"     2,334",    92.7
Watertown,03140000,"     2,727",     9.6,     5.6,"     2,629",    93.9
Wayland,03150000,"     2,746",     2.0,     1.6,"     2,704",    99.6
Webster,03160000,"     2,015",    15.8,     8.7,"     1,870",    90.7
Wellesley,03170000,"     5,099",     3.3,     1.8,"     5,031",    98.1
Wellfleet,03180000,       125,    12.0,     8.8,       116,    94.8
West Boylston,03220000,       943,     7.0,     4.0,       908,    96.6
West Bridgewater,03230000,"     1,325",     3.6,     1.8,"     1,306",    97.8
West Springfield,03320000,"     4,448",    13.6,     9.6,"     4,133",    93.6
Westborough,03210000,"     4,114",     8.9,     5.3,"     3,937",    95.3
Westfield,03250000,"     5,713",     8.9,     4.2,"     5,521",    94.8
Westford,03260000,"     5,156",     3.2,     2.4,"     5,073",    98.5
Westhampton,03270000,       124,     4.0,     3.2,       121,    98.3
Weston,03300000,"     2,137",     2.9,     2.2,"     2,105",    98.6
Westport,03310000,"     1,468",     5.2,     3.1,"     1,431",    97.3
Westwood,03350000,"     3,165",     2.1,     1.6,"     3,122",    99.3
Weymouth,03360000,"     6,277",    10.8,     6.9,"     6,051",    92.8
Whately,03370000,       144,     9.0,     5.6,       140,    93.6
Whitman-Hanson,07800000,"     3,995",     5.8,     3.8,"     3,910",    96.4
Whittier Regional Vocational Technical,08850000,"     1,270",     2.9,     0.8,"     1,260",    97.9
Williamsburg,03400000,       168,     4.8,     3.6,       163,    98.2
Williamstown,03410000,       465,     3.9,     2.4,       459,    97.4
Wilmington,03420000,"     3,404",     3.8,     2.1,"     3,343",    98.0
Winchendon,03430000,"     1,343",    10.1,     6.1,"     1,293",    93.4
Winchester,03440000,"     4,725",     2.5,     1.3,"     4,678",    98.6
Winthrop,03460000,"     2,102",     9.7,     4.7,"     2,033",    93.4
Woburn,03470000,"     4,772",     8.6,     5.0,"     4,612",    95.0
Worcester,03480000,"    27,665",    17.1,     9.6,"    25,700",    91.4
Worthington,03490000,        67,    13.4,    10.4,        62,    93.5
Wrentham,03500000,"     1,067",     5.8,     5.0,"     1,047",    96.0
