District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Sizer School: A North Central Charter Essential (District),04740000,       196,    19.9,     6.6,       187,    84.0
Somerset,02730000,       724,    10.8,     6.2,       690,    94.1
Somerset Berkley Regional School District,07630000,       247,    11.7,     5.7,       238,    91.6
Somerville,02740000,"     3,235",    16.1,    10.2,"     3,048",    90.0
South Hadley,02780000,       829,    14.0,     9.0,       772,    92.4
South Middlesex Regional Vocational Technical,08290000,       541,     8.7,     4.3,       528,    93.6
South Shore Charter Public (District),04880000,       450,    11.8,     7.3,       440,    90.2
South Shore Regional Vocational Technical,08730000,       339,     4.7,     0.3,       339,    95.3
Southampton,02750000,       174,    12.1,     6.9,       162,    94.4
Southborough,02760000,       378,    19.8,    15.1,       344,    88.1
Southbridge,02770000,"     1,908",    24.7,    16.6,"     1,648",    88.2
Southeastern Regional Vocational Technical,08720000,       815,     5.2,     2.1,       805,    96.0
Southern Berkshire,07650000,       336,    10.7,     8.0,       316,    94.9
Southern Worcester County Regional Vocational Technical,08760000,       417,     5.0,     0.0,       417,    95.0
Southwick-Tolland-Granville Regional School District,07660000,       583,     7.4,     4.5,       563,    95.9
Spencer-E Brookfield,07670000,       822,    21.3,    15.5,       712,    90.9
Springfield,02810000,"    24,297",    23.0,    13.8,"    22,273",    86.9
Springfield Preparatory Charter School (District),35100000,       188,    10.6,     5.3,       185,    90.8
Stoneham,02840000,       892,    13.6,    10.2,       839,    92.1
Stoughton,02850000,"     1,781",    14.4,     9.0,"     1,666",    92.0
Sturbridge,02870000,       263,    13.7,     9.9,       248,    91.5
Sturgis Charter Public (District),04890000,       246,     9.3,     3.7,       239,    93.3
Sudbury,02880000,       623,     6.1,     3.5,       606,    97.0
Sunderland,02890000,       128,    16.4,    11.7,       118,    90.7
Sutton,02900000,       399,     8.5,     4.0,       386,    94.6
Swampscott,02910000,       750,    11.5,     7.2,       706,    94.5
Swansea,02920000,       673,     9.7,     5.5,       642,    95.3
Tantasqua,07700000,       549,     9.8,     3.1,       535,    93.6
Taunton,02930000,"     5,014",    15.9,     8.8,"     4,661",    92.3
TEC Connections Academy Commonwealth Virtual School District,39020000,"     1,357",    61.2,    44.2,       931,    56.5
Tewksbury,02950000,"     1,146",    12.2,     7.6,"     1,073",    93.9
Tisbury,02960000,       184,    17.4,    12.5,       165,    92.1
Topsfield,02980000,       143,     7.0,     5.6,       135,    98.5
Tri-County Regional Vocational Technical,08780000,       458,     6.6,     1.7,       451,    94.9
Triton,07730000,       932,    10.3,     4.4,       897,    93.2
Truro,03000000,        52,     9.6,     7.7,        49,    95.9
Tyngsborough,03010000,       513,     8.0,     5.5,       488,    96.7
UP Academy Charter School of Boston (District),04800000,       463,    24.0,    19.9,       422,    83.4
UP Academy Charter School of Dorchester (District),35050000,       643,    13.8,     9.0,       626,    88.5
Up-Island Regional,07740000,       202,    15.3,     9.4,       189,    90.5
Upper Cape Cod Regional Vocational Technical,08790000,       296,     6.1,     0.0,       296,    93.9
Uxbridge,03040000,       660,    13.0,     7.9,       626,    91.7
Veritas Preparatory Charter School (District),04980000,       269,    13.0,     5.9,       267,    87.6
Wachusett,07750000,"     1,922",     8.7,     5.3,"     1,858",    94.5
Wakefield,03050000,"     1,062",    10.4,     7.5,"     1,000",    95.2
Wales,03060000,        78,    15.4,     7.7,        72,    91.7
Walpole,03070000,       987,     9.8,     5.7,       945,    94.6
Waltham,03080000,"     3,278",    17.1,    10.8,"     3,042",    90.0
Ware,03090000,       801,    17.9,    10.5,       742,    88.7
Wareham,03100000,"     1,627",    15.5,     8.7,"     1,516",    90.9
Watertown,03140000,"     1,315",    13.6,     8.4,"     1,244",    91.5
Wayland,03150000,       756,     4.6,     4.0,       726,    99.3
Webster,03160000,"     1,323",    20.3,    11.0,"     1,204",    87.5
Wellesley,03170000,"     1,218",     6.4,     3.5,"     1,186",    96.4
Wellfleet,03180000,        61,    16.4,    11.5,        55,    92.7
West Boylston,03220000,       345,    13.3,     7.5,       322,    92.9
West Bridgewater,03230000,       360,     8.1,     4.7,       345,    95.9
West Springfield,03320000,"     2,728",    19.8,    14.1,"     2,440",    90.5
Westborough,03210000,"     1,376",    14.2,     8.7,"     1,285",    92.1
Westfield,03250000,"     2,973",    13.5,     6.6,"     2,817",    92.0
Westford,03260000,"     1,131",     7.1,     5.8,"     1,082",    97.2
Westhampton,03270000,        46,     8.7,     6.5,        44,    95.5
Weston,03300000,       536,     4.5,     3.5,       522,    98.1
Westport,03310000,       587,     8.0,     4.8,       566,    95.4
Westwood,03350000,       740,     5.0,     3.9,       717,    98.2
Weymouth,03360000,"     2,814",    16.2,    10.3,"     2,638",    90.0
Whately,03370000,        50,    12.0,     6.0,        48,    91.7
Whitman-Hanson,07800000,"     1,309",    11.8,     7.9,"     1,256",    92.3
Whittier Regional Vocational Technical,08850000,       627,     3.3,     0.6,       623,    97.3
Williamsburg,03400000,        70,    11.4,     8.6,        65,    95.4
Williamstown,03410000,       137,     4.4,     1.5,       135,    97.0
Wilmington,03420000,       980,     9.2,     4.8,       939,    95.0
Winchendon,03430000,       752,    14.2,     8.5,       715,    90.3
Winchester,03440000,"     1,243",     5.3,     2.6,"     1,219",    97.0
Winthrop,03460000,       983,    14.8,     7.7,       931,    90.0
Woburn,03470000,"     2,142",    14.2,     8.5,"     2,011",    91.9
Worcester,03480000,"    22,307",    19.6,    11.1,"    20,490",    90.2
Worthington,03490000,        35,    14.3,    11.4,        33,    90.9
Wrentham,03500000,       287,     5.9,     5.2,       278,    97.1
